IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
47.243.42.219	2096	true	HKG	Asia Pacific	Hong Kong	56 ms	4754 kB/s
47.236.123.133	2083	true	SIN	Asia Pacific	Singapore	239 ms	4734 kB/s
47.236.202.91	2087	true	SIN	Asia Pacific	Singapore	236 ms	4731 kB/s
47.236.168.17	2053	true	SIN	Asia Pacific	Singapore	238 ms	4697 kB/s
8.219.147.58	2087	true	SIN	Asia Pacific	Singapore	224 ms	4696 kB/s
8.222.140.87	2096	true	SIN	Asia Pacific	Singapore	225 ms	4690 kB/s
47.245.108.213	2053	true	SIN	Asia Pacific	Singapore	242 ms	4681 kB/s
8.219.113.232	2053	true	SIN	Asia Pacific	Singapore	240 ms	4674 kB/s
47.236.144.208	2053	true	SIN	Asia Pacific	Singapore	246 ms	4671 kB/s
8.219.122.96	2053	true	SIN	Asia Pacific	Singapore	241 ms	4643 kB/s
47.236.169.141	2083	true	SIN	Asia Pacific	Singapore	252 ms	4625 kB/s
8.222.146.222	2053	true	SIN	Asia Pacific	Singapore	244 ms	4624 kB/s
47.236.169.15	2083	true	SIN	Asia Pacific	Singapore	233 ms	4624 kB/s
8.219.142.229	8443	true	SIN	Asia Pacific	Singapore	241 ms	4623 kB/s
47.236.158.158	2053	true	SIN	Asia Pacific	Singapore	230 ms	4599 kB/s
8.222.138.164	443	true	SIN	Asia Pacific	Singapore	224 ms	4597 kB/s
47.236.150.13	2053	true	SIN	Asia Pacific	Singapore	244 ms	4582 kB/s
47.236.10.100	2096	true	SIN	Asia Pacific	Singapore	246 ms	4563 kB/s
8.219.178.101	2053	true	SIN	Asia Pacific	Singapore	220 ms	4555 kB/s
8.219.78.1	8443	true	SIN	Asia Pacific	Singapore	225 ms	4550 kB/s
8.219.144.168	443	true	SIN	Asia Pacific	Singapore	222 ms	4541 kB/s
8.219.101.72	2053	true	SIN	Asia Pacific	Singapore	221 ms	4540 kB/s
8.222.215.228	2087	true	SIN	Asia Pacific	Singapore	234 ms	4530 kB/s
47.236.93.176	2087	true	SIN	Asia Pacific	Singapore	243 ms	4503 kB/s
8.219.78.1	2096	true	SIN	Asia Pacific	Singapore	227 ms	4497 kB/s
8.222.138.164	8443	true	SIN	Asia Pacific	Singapore	223 ms	4481 kB/s
47.236.174.206	2087	true	SIN	Asia Pacific	Singapore	219 ms	4477 kB/s
8.219.141.174	8443	true	SIN	Asia Pacific	Singapore	235 ms	4444 kB/s
47.236.169.15	2053	true	SIN	Asia Pacific	Singapore	236 ms	4441 kB/s
47.236.83.239	2053	true	SIN	Asia Pacific	Singapore	229 ms	4441 kB/s
8.219.40.37	2087	true	SIN	Asia Pacific	Singapore	233 ms	4437 kB/s
8.218.143.10	8443	true	HKG	Asia Pacific	Hong Kong	62 ms	4437 kB/s
8.222.146.222	2083	true	SIN	Asia Pacific	Singapore	216 ms	4434 kB/s
47.236.166.131	2096	true	SIN	Asia Pacific	Singapore	218 ms	4434 kB/s
47.236.149.107	2083	true	SIN	Asia Pacific	Singapore	241 ms	4434 kB/s
8.219.113.232	2083	true	SIN	Asia Pacific	Singapore	234 ms	4424 kB/s
8.219.142.229	2087	true	SIN	Asia Pacific	Singapore	221 ms	4413 kB/s
8.219.177.205	2053	true	SIN	Asia Pacific	Singapore	221 ms	4409 kB/s
47.236.158.158	2083	true	SIN	Asia Pacific	Singapore	225 ms	4407 kB/s
8.219.113.232	8443	true	SIN	Asia Pacific	Singapore	230 ms	4399 kB/s
47.236.166.131	2053	true	SIN	Asia Pacific	Singapore	229 ms	4393 kB/s
47.236.171.205	2096	true	SIN	Asia Pacific	Singapore	234 ms	4387 kB/s
8.219.0.162	2087	true	SIN	Asia Pacific	Singapore	236 ms	4385 kB/s
8.222.180.86	2096	true	SIN	Asia Pacific	Singapore	256 ms	4383 kB/s
8.222.180.86	8443	true	SIN	Asia Pacific	Singapore	243 ms	4376 kB/s
47.236.164.215	2053	true	SIN	Asia Pacific	Singapore	234 ms	4370 kB/s
8.222.140.87	2083	true	SIN	Asia Pacific	Singapore	220 ms	4367 kB/s
8.222.152.165	2096	true	SIN	Asia Pacific	Singapore	227 ms	4360 kB/s
47.236.121.23	2096	true	SIN	Asia Pacific	Singapore	233 ms	4345 kB/s
8.219.86.200	2087	true	SIN	Asia Pacific	Singapore	244 ms	4345 kB/s
47.236.144.156	2083	true	SIN	Asia Pacific	Singapore	233 ms	4328 kB/s
8.219.60.54	8443	true	SIN	Asia Pacific	Singapore	221 ms	4324 kB/s
47.236.149.107	2087	true	SIN	Asia Pacific	Singapore	241 ms	4319 kB/s
47.236.150.13	8443	true	SIN	Asia Pacific	Singapore	229 ms	4316 kB/s
8.222.152.165	2053	true	SIN	Asia Pacific	Singapore	243 ms	4315 kB/s
47.236.164.215	8443	true	SIN	Asia Pacific	Singapore	246 ms	4313 kB/s
47.236.202.91	2096	true	SIN	Asia Pacific	Singapore	220 ms	4298 kB/s
8.222.138.164	2087	true	SIN	Asia Pacific	Singapore	231 ms	4294 kB/s
47.236.168.17	2087	true	SIN	Asia Pacific	Singapore	234 ms	4293 kB/s
8.219.42.72	2053	true	SIN	Asia Pacific	Singapore	231 ms	4286 kB/s
47.245.105.224	2083	true	SIN	Asia Pacific	Singapore	235 ms	4274 kB/s
47.236.166.131	2083	true	SIN	Asia Pacific	Singapore	222 ms	4270 kB/s
47.236.97.90	2053	true	SIN	Asia Pacific	Singapore	222 ms	4258 kB/s
8.222.128.131	2083	true	SIN	Asia Pacific	Singapore	229 ms	4255 kB/s
47.236.7.106	2083	true	SIN	Asia Pacific	Singapore	217 ms	4245 kB/s
8.217.167.88	2053	true	HKG	Asia Pacific	Hong Kong	58 ms	4244 kB/s
8.219.178.101	2096	true	SIN	Asia Pacific	Singapore	244 ms	4242 kB/s
47.236.5.223	2083	true	SIN	Asia Pacific	Singapore	228 ms	4242 kB/s
47.236.7.106	2096	true	SIN	Asia Pacific	Singapore	227 ms	4216 kB/s
8.222.140.87	443	true	SIN	Asia Pacific	Singapore	222 ms	4202 kB/s
47.236.144.208	2087	true	SIN	Asia Pacific	Singapore	251 ms	4200 kB/s
8.219.147.58	2083	true	SIN	Asia Pacific	Singapore	227 ms	4197 kB/s
8.219.103.65	8443	true	SIN	Asia Pacific	Singapore	220 ms	4191 kB/s
47.236.97.90	2096	true	SIN	Asia Pacific	Singapore	228 ms	4187 kB/s
8.219.113.232	2096	true	SIN	Asia Pacific	Singapore	223 ms	4175 kB/s
8.222.138.164	2083	true	SIN	Asia Pacific	Singapore	226 ms	4159 kB/s
8.219.177.205	8443	true	SIN	Asia Pacific	Singapore	219 ms	4159 kB/s
47.236.117.48	2087	true	SIN	Asia Pacific	Singapore	247 ms	4158 kB/s
47.236.87.246	8443	true	SIN	Asia Pacific	Singapore	233 ms	4156 kB/s
47.236.7.106	8443	true	SIN	Asia Pacific	Singapore	218 ms	4155 kB/s
47.236.165.25	2083	true	SIN	Asia Pacific	Singapore	231 ms	4136 kB/s
47.236.174.206	2053	true	SIN	Asia Pacific	Singapore	240 ms	4124 kB/s
47.236.117.48	2096	true	SIN	Asia Pacific	Singapore	233 ms	4123 kB/s
8.219.228.186	8443	true	SIN	Asia Pacific	Singapore	222 ms	4079 kB/s
47.236.254.120	8443	true	SIN	Asia Pacific	Singapore	223 ms	4070 kB/s
8.219.141.174	2083	true	SIN	Asia Pacific	Singapore	228 ms	4066 kB/s
8.219.60.54	2053	true	SIN	Asia Pacific	Singapore	224 ms	4065 kB/s
8.219.78.1	2087	true	SIN	Asia Pacific	Singapore	234 ms	4063 kB/s
8.222.152.165	443	true	SIN	Asia Pacific	Singapore	231 ms	4054 kB/s
8.219.228.186	2087	true	SIN	Asia Pacific	Singapore	222 ms	4053 kB/s
47.243.86.79	2083	true	HKG	Asia Pacific	Hong Kong	57 ms	4051 kB/s
8.219.103.65	2096	true	SIN	Asia Pacific	Singapore	224 ms	4051 kB/s
47.236.167.231	2053	true	SIN	Asia Pacific	Singapore	223 ms	4050 kB/s
47.236.83.239	2083	true	SIN	Asia Pacific	Singapore	226 ms	4044 kB/s
47.236.180.51	2053	true	SIN	Asia Pacific	Singapore	229 ms	4036 kB/s
47.245.108.213	2087	true	SIN	Asia Pacific	Singapore	248 ms	4028 kB/s
8.219.141.174	2096	true	SIN	Asia Pacific	Singapore	226 ms	4012 kB/s
47.236.7.106	2087	true	SIN	Asia Pacific	Singapore	240 ms	4011 kB/s
47.236.150.13	2083	true	SIN	Asia Pacific	Singapore	241 ms	3995 kB/s
47.237.8.82	2083	true	SIN	Asia Pacific	Singapore	232 ms	3963 kB/s
47.236.180.51	8443	true	SIN	Asia Pacific	Singapore	232 ms	3957 kB/s
47.236.169.141	2087	true	SIN	Asia Pacific	Singapore	236 ms	3948 kB/s
8.218.158.94	2087	true	HKG	Asia Pacific	Hong Kong	57 ms	3947 kB/s
8.219.122.96	8443	true	SIN	Asia Pacific	Singapore	246 ms	3945 kB/s
47.243.42.219	8443	true	HKG	Asia Pacific	Hong Kong	57 ms	3939 kB/s
47.236.202.91	8443	true	SIN	Asia Pacific	Singapore	221 ms	3921 kB/s
8.219.78.1	2053	true	SIN	Asia Pacific	Singapore	230 ms	3905 kB/s
47.236.123.133	2096	true	SIN	Asia Pacific	Singapore	227 ms	3903 kB/s
47.236.180.51	2087	true	SIN	Asia Pacific	Singapore	239 ms	3865 kB/s
8.219.72.51	2096	true	SIN	Asia Pacific	Singapore	231 ms	3854 kB/s
8.219.72.51	2087	true	SIN	Asia Pacific	Singapore	235 ms	3839 kB/s
47.236.167.231	2083	true	SIN	Asia Pacific	Singapore	241 ms	3836 kB/s
47.236.7.106	2053	true	SIN	Asia Pacific	Singapore	252 ms	3830 kB/s
8.219.179.34	443	true	SIN	Asia Pacific	Singapore	241 ms	3826 kB/s
47.236.144.156	2096	true	SIN	Asia Pacific	Singapore	223 ms	3826 kB/s
47.236.144.196	2083	true	SIN	Asia Pacific	Singapore	245 ms	3816 kB/s
47.236.121.7	2087	true	SIN	Asia Pacific	Singapore	249 ms	3804 kB/s
8.219.40.37	2053	true	SIN	Asia Pacific	Singapore	229 ms	3778 kB/s
8.219.50.180	2053	true	SIN	Asia Pacific	Singapore	220 ms	3775 kB/s
47.236.75.113	2087	true	SIN	Asia Pacific	Singapore	239 ms	3772 kB/s
8.219.178.101	8443	true	SIN	Asia Pacific	Singapore	239 ms	3762 kB/s
8.219.178.101	2087	true	SIN	Asia Pacific	Singapore	228 ms	3756 kB/s
47.236.121.7	2096	true	SIN	Asia Pacific	Singapore	214 ms	3755 kB/s
47.236.83.239	2096	true	SIN	Asia Pacific	Singapore	226 ms	3749 kB/s
47.237.8.82	8443	true	SIN	Asia Pacific	Singapore	234 ms	3747 kB/s
8.222.146.222	2087	true	SIN	Asia Pacific	Singapore	247 ms	3744 kB/s
8.219.228.186	2053	true	SIN	Asia Pacific	Singapore	219 ms	3740 kB/s
47.236.10.100	2087	true	SIN	Asia Pacific	Singapore	227 ms	3718 kB/s
8.219.50.180	2096	true	SIN	Asia Pacific	Singapore	219 ms	3714 kB/s
8.222.140.87	8443	true	SIN	Asia Pacific	Singapore	217 ms	3712 kB/s
8.219.72.51	8443	true	SIN	Asia Pacific	Singapore	216 ms	3704 kB/s
8.219.60.54	2087	true	SIN	Asia Pacific	Singapore	217 ms	3702 kB/s
47.236.97.90	2083	true	SIN	Asia Pacific	Singapore	222 ms	3690 kB/s
8.219.40.37	2096	true	SIN	Asia Pacific	Singapore	243 ms	3686 kB/s
8.219.78.1	2083	true	SIN	Asia Pacific	Singapore	233 ms	3682 kB/s
47.236.144.208	2096	true	SIN	Asia Pacific	Singapore	229 ms	3657 kB/s
47.236.5.223	2087	true	SIN	Asia Pacific	Singapore	228 ms	3653 kB/s
8.222.136.247	2083	true	SIN	Asia Pacific	Singapore	232 ms	3647 kB/s
47.236.254.120	2096	true	SIN	Asia Pacific	Singapore	232 ms	3631 kB/s
8.219.72.51	2053	true	SIN	Asia Pacific	Singapore	222 ms	3628 kB/s
47.243.203.119	2096	true	HKG	Asia Pacific	Hong Kong	61 ms	3620 kB/s
8.222.180.86	2087	true	SIN	Asia Pacific	Singapore	223 ms	3612 kB/s
8.222.136.247	2087	true	SIN	Asia Pacific	Singapore	236 ms	3608 kB/s
8.222.138.164	2053	true	SIN	Asia Pacific	Singapore	229 ms	3599 kB/s
47.236.93.176	2053	true	SIN	Asia Pacific	Singapore	225 ms	3599 kB/s
47.243.27.217	2096	true	HKG	Asia Pacific	Hong Kong	60 ms	3580 kB/s
8.219.124.227	8443	true	SIN	Asia Pacific	Singapore	232 ms	3580 kB/s
8.219.179.34	2096	true	SIN	Asia Pacific	Singapore	244 ms	3570 kB/s
47.236.10.100	8443	true	SIN	Asia Pacific	Singapore	238 ms	3570 kB/s
47.236.104.98	2087	true	SIN	Asia Pacific	Singapore	238 ms	3566 kB/s
47.236.104.98	8443	true	SIN	Asia Pacific	Singapore	227 ms	3561 kB/s
47.236.144.156	2053	true	SIN	Asia Pacific	Singapore	213 ms	3554 kB/s
47.236.172.95	2083	true	SIN	Asia Pacific	Singapore	226 ms	3552 kB/s
47.236.97.90	8443	true	SIN	Asia Pacific	Singapore	225 ms	3550 kB/s
47.236.166.131	8443	true	SIN	Asia Pacific	Singapore	220 ms	3525 kB/s
47.236.104.11	2083	true	SIN	Asia Pacific	Singapore	223 ms	3496 kB/s
8.219.113.232	2087	true	SIN	Asia Pacific	Singapore	221 ms	3490 kB/s
8.219.147.58	8443	true	SIN	Asia Pacific	Singapore	226 ms	3465 kB/s
47.237.8.82	2053	true	SIN	Asia Pacific	Singapore	226 ms	3449 kB/s
8.219.142.229	2053	true	SIN	Asia Pacific	Singapore	223 ms	3436 kB/s
8.219.141.174	2053	true	SIN	Asia Pacific	Singapore	226 ms	3417 kB/s
47.236.93.176	8443	true	SIN	Asia Pacific	Singapore	218 ms	3413 kB/s
8.219.60.54	2083	true	SIN	Asia Pacific	Singapore	230 ms	3384 kB/s
8.218.156.91	2083	true	HKG	Asia Pacific	Hong Kong	74 ms	3381 kB/s
8.222.152.165	2087	true	SIN	Asia Pacific	Singapore	227 ms	3375 kB/s
47.236.125.62	2096	true	NRT	Asia Pacific	Tokyo	304 ms	3372 kB/s
47.236.164.215	443	true	SIN	Asia Pacific	Singapore	229 ms	3353 kB/s
47.236.164.215	2087	true	SIN	Asia Pacific	Singapore	229 ms	3340 kB/s
47.236.172.95	2096	true	SIN	Asia Pacific	Singapore	231 ms	3336 kB/s
47.236.172.95	2053	true	SIN	Asia Pacific	Singapore	221 ms	3333 kB/s
47.236.121.7	8443	true	SIN	Asia Pacific	Singapore	228 ms	3289 kB/s
47.236.104.11	2096	true	SIN	Asia Pacific	Singapore	233 ms	3286 kB/s
8.219.179.34	8443	true	SIN	Asia Pacific	Singapore	231 ms	3212 kB/s
47.236.117.48	2053	true	SIN	Asia Pacific	Singapore	241 ms	3192 kB/s
8.222.128.131	8443	true	SIN	Asia Pacific	Singapore	228 ms	3179 kB/s
8.219.86.200	8443	true	SIN	Asia Pacific	Singapore	225 ms	3155 kB/s
8.222.180.86	2053	true	SIN	Asia Pacific	Singapore	226 ms	3147 kB/s
47.236.87.246	2087	true	SIN	Asia Pacific	Singapore	217 ms	3142 kB/s
8.218.158.94	2053	true	HKG	Asia Pacific	Hong Kong	56 ms	3046 kB/s
47.236.169.15	2087	true	SIN	Asia Pacific	Singapore	225 ms	3033 kB/s
8.222.208.83	2096	true	SIN	Asia Pacific	Singapore	237 ms	3013 kB/s
47.236.7.106	443	true	SIN	Asia Pacific	Singapore	245 ms	2987 kB/s
47.243.203.119	2087	true	HKG	Asia Pacific	Hong Kong	59 ms	2947 kB/s
47.237.8.82	2087	true	SIN	Asia Pacific	Singapore	247 ms	2940 kB/s
47.236.113.184	443	true	SIN	Asia Pacific	Singapore	219 ms	2925 kB/s
47.236.121.7	2053	true	SIN	Asia Pacific	Singapore	230 ms	2917 kB/s
47.236.125.62	2083	true	NRT	Asia Pacific	Tokyo	300 ms	2847 kB/s
47.236.104.11	2087	true	SIN	Asia Pacific	Singapore	242 ms	2846 kB/s
8.222.208.83	2083	true	SIN	Asia Pacific	Singapore	242 ms	2837 kB/s
8.222.180.86	2083	true	SIN	Asia Pacific	Singapore	238 ms	2775 kB/s
47.236.125.62	2053	true	NRT	Asia Pacific	Tokyo	303 ms	2737 kB/s
47.90.141.204	443	true	LAX	North America	Los Angeles	265 ms	2701 kB/s
47.236.121.7	2083	true	SIN	Asia Pacific	Singapore	238 ms	2701 kB/s
47.236.172.95	8443	true	SIN	Asia Pacific	Singapore	224 ms	2675 kB/s
8.217.167.88	2087	true	HKG	Asia Pacific	Hong Kong	63 ms	2649 kB/s
47.236.144.196	8443	true	SIN	Asia Pacific	Singapore	248 ms	2623 kB/s
47.236.10.100	2083	true	SIN	Asia Pacific	Singapore	222 ms	2614 kB/s
47.236.172.95	2087	true	SIN	Asia Pacific	Singapore	230 ms	2517 kB/s
47.243.27.217	2083	true	HKG	Asia Pacific	Hong Kong	58 ms	2268 kB/s
47.236.125.62	8443	true	NRT	Asia Pacific	Tokyo	300 ms	2214 kB/s
47.236.125.62	2087	true	NRT	Asia Pacific	Tokyo	299 ms	2166 kB/s
47.236.167.231	2096	true	SIN	Asia Pacific	Singapore	234 ms	2130 kB/s
8.218.156.91	2053	true	HKG	Asia Pacific	Hong Kong	63 ms	2076 kB/s
47.236.85.11	8443	true	SIN	Asia Pacific	Singapore	234 ms	2052 kB/s
47.236.14.118	443	true	SIN	Asia Pacific	Singapore	228 ms	1975 kB/s
47.89.191.155	443	true	IAD	North America	Ashburn	272 ms	1919 kB/s
8.222.208.83	8443	true	SIN	Asia Pacific	Singapore	237 ms	1769 kB/s
47.236.104.98	2083	true	SIN	Asia Pacific	Singapore	251 ms	1612 kB/s
47.236.253.41	2087	true	SIN	Asia Pacific	Singapore	232 ms	1446 kB/s
8.218.156.91	443	true	HKG	Asia Pacific	Hong Kong	59 ms	1395 kB/s
